actual_rpps_number,old_rpps_number,rpps_cbw_uuid
200413000001784,200413000000831,e07b890d-2150-4e89-b097-6a338bf54635
200413000001235,200413000000212,2530275f-26f8-4085-9947-b18138a3e303
200413000001547,200413000000562,4890232f-0762-46fc-91ae-c75015bdf013
200413000001256,200413000000237,8f53017c-d0f5-4263-8f94-5e6ecde8310b
200413000001447,200413000000449,ea20df3c-223c-44b2-b0fb-598dab0a83bf
200413000001894,200413000000948,8fa6822c-55df-4ab6-befb-f8e4ab7c82f8
200413000001647,200413000000673,dbd58bdf-389e-4153-b32a-6adc2a12ce63
200413000001674,200413000000704,79bbdb6b-c312-4fa5-89fc-b2bb12a9af80
200413000001162,200413000000138,bd6c54eb-35a1-46d9-be9a-eca3a1046e3c
200413000001347,200413000000338,c0e3ae28-1bdb-4278-a975-23e5cb739516
200413000001281,200413000000267,35d1ef58-1e5f-4b39-a525-c58cc83a56c2
200413000001806,200413000000853,ee9bf5cf-e378-4f8c-8f4b-bcd7d268494a
200413000001343,200413000000334,33c1ba52-c9e9-47ed-a65b-0abf455ac7ef
200413000001848,200413000000900,f1503148-42f5-4d06-af1e-697831bb82f9
200413000001214,200413000000190,cf605c95-7383-42f7-b84a-6b2f60d551b3
200413000001626,200413000000650,a6c41e6e-0c35-46ee-ba62-cf7dbbad3487
200413000001929,200413000000986,2908ff18-6dac-4386-9cfd-28cb666cd617
200413000001051,200413000000012,d5890642-6f68-4b2d-ac18-0e50fde0f0fb
200413000001184,200413000000161,b1eba87d-e4b1-4a9a-995b-588dad6e3abb
200413000001625,200413000000649,b6d8ca7c-57a9-4e3c-81f3-b5bd051308b9
200413000001112,200413000000081,735a36ea-2286-4779-acf1-e1c7dcb3591a
200413000001408,200413000000407,c8e3b5d0-7a42-4198-8f85-ccbd1e12e14e
200413000001875,200413000000929,c89a482b-d812-445d-a58d-fdce8e668d61
200413000001810,200413000000857,f1ec4425-e030-4e0f-921e-2b46aa5a2097
200413000001076,200413000000042,da3505a0-7d51-42d3-9710-97493eb1dc1b
200413000001680,200413000000712,7db94a4f-0a92-4c26-b989-cd103c6d0e9e
200413000001691,200413000000721,4a03327b-0074-4ae2-8867-a799e9a7a754
200413000001519,200413000000532,13713ec0-6d37-4edc-a324-c0e508d2638e
200413000001257,200413000000238,5dc050a8-5eae-4b90-a13b-40cf4102ab98
200413000001763,200413000000806,df5cbf0b-c293-4a5f-8f46-591dc49b2561
200413000001211,200413000000187,9003eaed-4bf9-4c15-bf42-e5aa7ca72360
200413000001531,200413000000544,e8381526-9bcb-40ef-a79b-b84d065f3dc3
200413000001938,200413000000997,43625531-0677-48ff-8779-ccfc5dd7ebdb
200413000001712,200413000000746,7b839d52-fdad-4276-b79d-a45b2a9bf776
200413000001506,200413000000517,1c5bb545-4e1c-4841-a4c5-1f4143c28c1b
200413000001771,200413000000814,c2396dfc-b3a2-4a33-9c62-9da9c1b6b8b6
200413000001444,200413000000445,1ad6b4cd-161b-4918-a6e3-eb4e2794934d
200413000001288,200413000000276,d62ffcbe-7b89-4e0f-a713-a4f8819cf8a6
200413000001320,200413000000311,66857063-9005-44f9-b1b4-538b3b291a90
200413000001080,200413000000046,196bde78-c6a2-4665-a71a-c3ac5ebf4120
200413000001565,200413000000580,627f15a6-b8e3-4927-b9b1-302ae862a955
200413000001536,200413000000548,d185ca22-f98b-48a0-9d02-651aab7dd761
200413000001538,200413000000550,0ec24e36-f965-4c51-aea9-eaa54ec0b07f
